Scientific Name,Live Mass (g),CTmin ,CTmax,Elevation,Duration
Lasioglossum,0.0018,8,48,7066.73,0:43:00
Lasioglossum,0.0008,3,46,7066.73,0:45:00
Lasioglossum,0.001,6,46,7066.73,1:22:00
Lasioglossum,0.0015,7,46,7066.73,0:43:00
Lasioglossum,0.018,12,46,7066.73,1:40:00
Lasioglossum,0.0016,7,48,7066.73,0:47:00
Hylaeus ,0.0028,6,48,7066.73,1:27:00
Lasioglossum,0.001,9,46,7066.73,1:33:00
Fly,0.0062,2,49,7066.73,1:37:00
Hoverfly,0.007,5,50,7066.73,1:54:00
Lasioglossum,0.0009,4,46,7066.73,0:47:00
Lasioglossum,0.0014,5,46,7066.73,0:45:00
Bombus,0.1372,6,49,7587.83,2:14:00
Bombus,0.0888,9,49,7587.83,2:08:00
Bombus,0.0786,6,49,7587.83,2:16:00
Bombus,0.0883,6,49,7587.83,2:14:00
Bombus,0.0763,9,49,7587.83,2:18:00
Bombus,0.0851,6,49,7587.83,2:18:00
Bombus,0.0812,6,49,7587.83,2:11:00
Bombus,0.0786,7,49,7587.83,2:18:00
Bombus,0.0883,6,50,7587.83,2:15:00
Bombus,0.1559,4,49,7587.83,2:12:00
Bombus,0.085,4,49,7587.83,2:14:00
Bombus,0.0711,7,49,7587.83,2:18:00
Lasioglossum,0.0022,,47,7609.02,1:26:00
Apis mellifera ,0.0771,,52,7609.02,1:31:00
Apis mellifera ,0.077,,57,7609.02,1:38:00
Lasioglossum,0.0023,,47,7609.02,1:30:00
Apis mellifera ,0.088,,50,7609.02,1:14:00
Lasioglossum,0.0018,,47,7609.02,1:33:00
Andrena ,0.0848,,48,7609.02,1:46:00
Colletes,0.0209,,52,7609.02,1:38:00
Apis mellifera ,0.0823,,54,7609.02,1:57:00
Andrena,0.0757,,52,7609.02,1:59:00
Halictus,0.0502,,50,7609.02,1:37:00
Lasioglossum,0.0012,,50,7609.02,1:22:00
Apis mellifera ,0.075,,50,7609.02,1:31:00
Halictus,0.0494,,50,7609.02,1:20:00
Lasioglossum,0.0018,,48,7609.02,2:05:00
Apis mellifera ,0.0682,,52,7609.02,2:00:00
Halictus,0.0738,,47,7609.02,1:54:00
Apis mellifera ,0.0683,,56,7609.02,1:59:00
Lasioglossum,0,,47,7609.02,1:24:00
Apis mellifera ,0.0664,,56,7609.02,1:46:00
Apis mellifera ,0.0947,,52,7609.02,1:14:00
Apis mellifera ,0.0818,,52,7609.02,1:51:00
Apis mellifera ,0.0861,,57,7609.02,2:05:00
Apis mellifera ,0.0879,,57,7609.02,1:48:00
Bombus,0.0926,,47,7587.83,6:11:00
Bombus,0.0824,,27,7587.83,6:05:00
Bombus,0.5661,,27,7587.83,6:06:00
Bombus,0.778,,49,7587.83,6:11:00
Bombus,0.0611,,27,7587.83,6:09:00
Bombus,0.0912,,27,7587.83,6:15:00
Bombus,0.073,,27,7587.83,6:13:00
Bombus,0.0935,,27,7587.83,6:06:00
Apis mellifera ,0.0796,,51,7609.02,5:50:00
Apis mellifera ,0.0782,,49,7609.02,5:23:00
Bombus,0.0965,,48,7587.83,6:09:00
Apis mellifera ,0.0787,,53,7609.02,5:33:00
Bombus,0.0624,2,47,10220.96,2:34:00
Bombus,0.0523,4,49,9891.73,1:31:00
Bombus,0.0968,3,49,10220.96,2:24:00
Osmia,0.0202,3,50,10220.96,2:16:00
Bombus,0.0715,2,49,10220.96,2:01:00
Halictus,0,3,47,10220.96,2:16:00
Bombus,0.0547,3,49,10220.96,2:16:00
Bombus,0.0719,3,49,10220.96,2:16:00
Bombus,0.0254,3,54,10220.96,2:21:00
Bombus,0.0524,2,47,9891.73,1:31:00
Bombus,0.1203,3,49,10220.96,2:16:00
Bombus,0.0654,2,49,9891.73,1:21:00
Bombus,0.0956,,47,9891.73,1:24:00
Bombus,0.0896,,51,9891.73,1:34:00
Bombus,0.0869,,47,9891.73,1:24:00
Parasite bee?,0.0209,,50,9891.73,1:34:00
Hoverfly,0.0253,,43,9891.73,1:34:00
Bombus,0.0705,,48,9891.73,1:39:00
Bombus,0.0631,,47,9891.73,1:39:00
Osmia,0.053,,48,9891.73,1:24:00
Colletes,0.0164,,47,9891.73,1:29:00
Bombus,0.044,,47,9891.73,1:39:00
Colletes,0.0209,,47,9891.73,1:39:00
Bombus,0.0842,,48,10220.96,2:04:00
Bombus,0.0666,,47,10220.96,2:09:00
Bombus,0.0765,,47,10220.96,2:24:00
Fly,0.0212,,50,8018.77,1:09:00
Lasioglossum,0,,39,10220.96,2:09:00
Bombus,0.0756,,50,10220.96,2:42:00
Bombus,0.0872,,47,10220.96,2:04:00
Bombus,0.1106,,48,10220.96,2:24:00
Bombus,0.0951,,48,10220.96,3:01:00
Bombus,0.0862,,47,10220.96,2:04:00
Bombus,0.0943,,50,10220.96,2:46:00
Bombus,0.0721,,47,10220.96,2:24:00
Bombus,0.1028,4,52,10220.96,1:20:00
Bombus,0.0825,4,46,10220.96,1:13:00
Bombus,0.0756,5,48,10220.96,1:13:00
Bombus,0.0682,4,46,9891.73,0:58:00
Bombus,0.0674,7,46,9891.73,0:58:00
Bombus,0.0725,5,45,9891.73,0:58:00
Bombus,0.0730,3,48,9891.73,0:57:00
Bombus,0.0970,5,48,9891.73,0:56:00
Bombus,0.0672,5,47,9891.73,0:55:00
