Catalog Number,Vial #,Scientific Name,Sex,Mass Tube with Bee (g),Mass Tube (g) ,Live Mass (g),ITD (mm),CTmin,CTmax,Site,Latitude,Longitude ,Elevation,Date,Acclimation (C),Assay Start (C),Assay End (C),Acclimation (W),Assay Start (W),Assay End (W),Plant,Time Collected,(Future ) 3d Measurement,Pin Weight
UCSB-IZC00082922,1,Apis mellifera,F,4.2604,,0.0755,,9,51,Greenhouse Path,34.41983,-119.85546,31,2-Jul-25,,11:40,11:50,12:14,12:24,13:25,Brassica nigra,11:27,,
UCSB-IZC00082929,2,Apis mellifera,F,4.2751,,0.0705,,7,49,Greenhouse Path,34.41999,-119.85695,29.82,2-Jul-25,,11:40,11:54,12:14,12:24,13:20,Brassica nigra,11:31,,
UCSB-IZC00082927,3,Apis mellifera,F,4.2725,,0.0994,,5,50,Greenhouse Path,34.41999,-119.85695,29.82,2-Jul-25,,11:40,11:57,12:14,12:24,13:23,Brassica nigra,11:32,,
UCSB-IZC00082928,4,Apis mellifera,F,4.2545,,0.0917,,5,50,Greenhouse Path,34.41999,-119.85695,29.82,2-Jul-25,,11:40,11:57,12:14,12:24,13:23,Brassica nigra,11:33,,
UCSB-IZC00082936,1,Apis mellifera,F,4.2575,,0.0643,,9,47,Greenhouse Path,34.419907,-119.85593,30.02,2-Jul-25,16:34,16:44,17:15,17:34,17:44,18:35,Brassica nigra,15:40,,
UCSB-IZC00082921,2,Apis mellifera,F,4.2641,,0.0905,,9,51,Greenhouse Path,34.419902,-119.85812,26.25,2-Jul-25,16:34,16:44,17:15,17:34,17:44,18:42,Brassica nigra,15:49,,
UCSB-IZC00082930,3,Apis mellifera,F,4.246,,0.0747,,10,46,Greenhouse Path,34.419902,-119.85812,26.25,2-Jul-25,16:34,16:44,17:13,17:34,17:44,18:33,Brassica nigra,15:51,,
UCSB-IZC00082937,4,Apis mellifera,F,4.2826,,0.0931,,10,49,Greenhouse Path,34.419902,-119.85812,26.25,2-Jul-25,16:34,16:44,17:13,17:34,17:44,18:38,Brassica nigra,15:54,,
UCSB-IZC00082924,5,Xylocopa tabaniformis,F,4.4073,,0.2257,,6,50,Greenhouse Garden,34.420521,-119.85899,21.23,2-Jul-25,16:34,16:44,17:22,17:34,17:44,18:40,Salvia microphylla,16:03,,
UCSB-IZC00082931,7,Agapostemon texanus,,4.1982,,0.0242,,15,46,Greenhouse Garden,34.420561,-119.85897,21.26,2-Jul-25,16:34,16:44,17:02,17:34,17:44,18:33,Raspistrum,16:06,,
UCSB-IZC00082923,6,Agapostemon texanus,M,4.1964,,0.0267,,3,50,Greenhouse Garden,34.420425,-119.85887,21.62,2-Jul-25,16:34,16:44,17:27,17:34,17:44,18:40,Grindelia camporum,16:12,,
UCSB-IZC00082935,8,Xylocopa tabaniformis,F,4.4498,,0.2824,,5,53,Greenhouse Garden,34.420521,-119.85899,21.23,2-Jul-25,16:34,16:44,17:23,17:34,17:44,18:47,Salvia microphylla,16:18,,
UCSB-IZC00082941,1,Ceratina,F,4.1916,4.1799,0.0115,,6,53,Lagoon,34.410671,-119.85049,8.99,3-Jul-25,13:34,13:44,14:16,14:34,14:44,15:49,Jaumea carnosa,11:48,,
UCSB-IZC00082934,2,Melissodes tepida timberlakei,M,4.1857,4.1645,0.021,,12,41,Lagoon,34.410671,-119.85049,8.99,3-Jul-25,13:34,13:44,14:05,14:34,14:44,15:24,Jaumea carnosa,11:56,,
UCSB-IZC00082943,3,Melissodes tepida timberlakei,F,4.2462,4.2014,0.0454,,12,49,Lagoon,34.410671,-119.85049,8.99,3-Jul-25,13:34,13:44,14:05,14:34,14:44,15:39,Jaumea carnosa,12:13,,
UCSB-IZC00082933,4,Agapostemon texanus,M,4.2168,4.185,0.032,,3,49,Lagoon,34.409976,-119.85052,11.25,3-Jul-25,13:34,13:44,14:27,14:34,14:44,15:39,Frankenia salina,12:33,,
UCSN-IZC00082939,5,Hylaeus ,,4.1819,4.178,0.0036,,3,55,Lagoon,34.407144,-119.84872,42.32,3-Jul-25,13:34,13:44,14:25,14:34,14:44,15:52,Ecelia californica,12:35,,
UCSB-IZC00082940,6,Ceratina Mesillae,,4.1742,4.1642,0.0093,,9,53,Lagoon,34.407144,-119.84872,42.32,3-Jul-25,13:34,13:44,14:10,14:34,14:44,15:49,Ecelia californica,12:41,,
UCSB-IZC00082948,7,Agapostemon texanus,M,4.1872,4.162,0.0257,,4,52,Lagoon,34.407144,-119.84872,42.32,3-Jul-25,13:34,13:44,14:21,14:34,14:44,15:46,Ecelia californica,12:52,,
UCSB-IZC00082955,1,Apis mellifera ,F,4.2329,4.1549,0.0776,,9,46,Greenhouse Garden,34.420423,-119.85873,22.74,7-Jul-25,11:47,11:57,12:23,12:47,12:57,13:44,Brassica nigra,11:12,,
UCSB-IZC00082954,3,Hylaeus ,,4.1908,4.1888,0.003,,6,48,Greenhouse Garden,34.420635,-119.85892,22.34,7-Jul-25,11:47,11:57,12:29,12:47,12:57,13:48,Bellis perennis,11:23,,
UCSB-IZC00082945,4,Hylaeus ,,4.1896,4.1821,0.0076,,4,51,Greenhouse Garden,34.420635,-119.85892,22.34,7-Jul-25,11:47,11:57,11:37,12:47,12:57,13:56,Grindelia camporum,11:25,,
UCSB-IZC00082947,5,Megachile fidelis,,4.2365,4.1793,0.0565,,7,50,Greenhouse Garden,34.420635,-119.85892,22.34,7-Jul-25,11:47,11:57,12:26,12:47,12:57,13:52,Tagetes lemmonii,11:27,,
UCSB-IZC00082953,6,Hyaleus,,4.1653,4.1607,0.0049,,6,44,Greenhouse Garden,34.420455,-119.85858,23.75,7-Jul-25,11:47,11:57,12:30,12:47,12:57,13:40,Grindelia camporum,11:30,,
UCSB-IZC00082958,1,Lasioglossum sisymbrii,,4.1671,4.1532,0.0136,,12,40,Manzanita Restoration Site,34.408068,-119.85243,39.34,8-Jul-25,12:23,12:33,12:55,13:22,13:32,14:10,Encelia californica,11:08,,
UCSB-IZC00082961,2,Colletes,,4.2111,4.1909,0.0201,,6,48,Manzanita Restoration Site,34.407902,-119.85153,36.91,8-Jul-25,12:23,12:33,13:07,13:22,13:32,12:48,Eriogonum parvifolium,11:13,,
UCSB-IZC00082952,3,Halictus tripartitus,,4.197,4.1903,0.0068,,10,55,Manzanita Restoration Site,34.407901,-119.85087,38.71,8-Jul-25,12:23,12:33,12:59,13:22,13:32,14:46,Grindelia camporum,11:16,,
UCSB-IZC00082951,4,Agopostemon texanus,,4.2077,4.1838,0.0238,,10,45,Lagoon,34.407244,-119.84858,42.52,8-Jul-25,12:23,12:33,12:59,13:22,13:32,14:22,Encelia californica,11:32,,0.048
